reach_id,flow
8490370,179.4
8489334,136
8490230,403.6
8490364,113.4
8489322,101.4
8490472,21.5
8489332,512.1
8490228,350.3
8490468,35.3
8489330,990.2
8489352,221.1
8489320,574.2
8489308,567.9
8489336,338.7
8489318,1464.9
8489296,1700.8
8489316,1468.7
8489306,1608.6
8490354,1510.8
8490352,349.6
8490350,1544.7
